CID,U3dIn,U3dOut,Energy,Chi0N150,Chi0N100,Chi0N050,Chi0P000,Chi0P050,Chi0P100,Chi0P150,ChiN150,ChiN100,ChiN050,ChiP000,ChiP050,ChiP100,ChiP150,PturbMax,PturbMin
acs.jpcc.5b05338-459,0,2.709923664,-442.0482351,2.555,2.576,2.598,2.62,2.642,2.664,2.687,2.59,2.6,2.61,2.62,2.63,2.64,2.65,0.15,-0.15
acs.jpcc.5b05338-460,0,2.610340479,-442.765183,2.615,2.636,2.657,2.679,2.701,2.723,2.745,2.643,2.653,2.663,2.673,2.684,2.694,2.704,0.15,-0.15
acs.jpcc.5b05338-461,0,4.772727273,-427.7550569,1.839,1.857,1.875,1.893,1.911,1.93,1.949,1.873,1.879,1.886,1.893,1.9,1.907,1.913,0.15,-0.15
acs.jpcc.5b05338-462,0,4.365079365,-429.22488,1.877,1.894,1.912,1.93,1.948,1.966,1.985,1.909,1.916,1.923,1.93,1.937,1.944,1.951,0.15,-0.15
acs.jpcc.5b05338-463,0,6.029684601,-429.4855166,1.643,1.659,1.675,1.691,1.708,1.725,1.741,1.675,1.68,1.686,1.691,1.697,1.703,1.708,0.15,-0.15
acs.jpcc.5b05338-464,0,5.730745907,-430.9934012,1.674,1.69,1.706,1.722,1.738,1.755,1.771,1.705,1.711,1.716,1.722,1.728,1.733,1.739,0.15,-0.15
acs.jpcc.5b05338-465,0,3.101503759,-422.9126435,2.464,2.485,2.507,2.529,2.551,2.574,2.597,2.501,2.51,2.52,2.529,2.538,2.548,2.557,0.15,-0.15
acs.jpcc.5b05338-466,0,3.007518797,-423.9434283,2.518,2.54,2.562,2.583,2.606,2.628,2.651,2.555,2.564,2.574,2.583,2.593,2.603,2.612,0.15,-0.15
acs.jpcc.5b05338-467,0,2.982632771,-845.4282232,2.491,2.513,2.535,2.558,2.581,2.604,2.628,2.529,2.539,2.548,2.558,2.568,2.577,2.587,0.15,-0.15
acs.jpcc.5b05338-468,0,2.933607823,-846.5699767,2.511,2.532,2.554,2.577,2.599,2.622,2.645,2.548,2.558,2.567,2.577,2.586,2.596,2.606,0.15,-0.15
acs.jpcc.5b05338-469,1,3.198869476,-422.6211529,2.491,2.513,2.536,2.559,2.582,2.606,2.63,2.475,2.484,2.493,2.503,2.512,2.521,2.531,0.15,-0.15
acs.jpcc.5b05338-470,2,3.316326531,-422.5095252,2.524,2.547,2.571,2.596,2.62,2.646,2.671,2.449,2.459,2.468,2.477,2.486,2.495,2.505,0.15,-0.15
acs.jpcc.5b05338-471,2.5,3.668763103,-422.415835,2.666,2.692,2.718,2.744,2.77,2.797,2.825,2.436,2.445,2.454,2.463,2.472,2.481,2.49,0.15,-0.15
acs.jpcc.5b05338-472,3,3.632478632,-422.3031138,2.563,2.588,2.613,2.639,2.665,2.692,2.719,2.423,2.432,2.441,2.45,2.459,2.468,2.477,0.15,-0.15
acs.jpcc.5b05338-473,3.5,3.730407524,-422.1664459,2.802,2.83,2.858,2.887,2.916,2.946,2.976,2.409,2.418,2.427,2.437,2.446,2.455,2.464,0.15,-0.15
acs.jpcc.5b05338-474,4,3.916211293,-422.0055355,2.877,2.906,2.936,2.966,2.997,3.028,3.06,2.396,2.405,2.414,2.423,2.432,2.441,2.45,0.15,-0.15
acs.jpcc.5b05338-519,0,-,-422.9139386,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,-0.15
acs.jpcc.5b05338-520,0,-,-408.209164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,-0.15
acs.jpcc.5b05338-521,0,-,-422.6532855,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,-0.15
