FractionHF,VOpt,CID,EOpt
0.5,66.79590458,acs.jpcc.5b05338-488,-86.56995578
0.75,65.42644697,acs.jpcc.5b05338-489,-104.4720455
0.5,60.70244736,acs.jpcc.5b05338-490,-86.50217973
0.875,58.80442552,acs.jpcc.5b05338-491,-113.7146742
0.95,58.43367629,acs.jpcc.5b05338-492,-119.3265736
0.75,59.32320802,acs.jpcc.5b05338-493,-104.4819425
0.25,68.58777857,acs.jpcc.5b05338-494,-69.37662205
1,68.37261757,acs.jpcc.5b05338-495,-115.8727273
0.25,62.39535934,acs.jpcc.5b05338-496,-69.24961249
1,62.05371804,acs.jpcc.5b05338-497,-115.7941919
0.875,64.88252632,acs.jpcc.5b05338-498,-113.6616887
0.825,65.07881664,acs.jpcc.5b05338-499,-109.9676452
0.95,64.48991271,acs.jpcc.5b05338-500,-119.2452356
0.825,59.03136738,acs.jpcc.5b05338-501,-110.0037479
0.25,122.6133806,acs.jpcc.5b05338-502,-129.9948842
0.75,65.62628393,acs.jpcc.5b05338-503,-91.79348249
0.5,66.96336855,acs.jpcc.5b05338-504,-78.12489083
0.5,60.82964034,acs.jpcc.5b05338-505,-78.04558558
0.825,59.1861258,acs.jpcc.5b05338-506,-96.03134946
0.875,65.10694486,acs.jpcc.5b05338-507,-98.8654702
1,62.25839152,acs.jpcc.5b05338-508,-98.87716026
0.75,59.53984735,acs.jpcc.5b05338-509,-91.78241195
0.825,65.31507535,acs.jpcc.5b05338-510,-96.01867943
0.875,58.95424767,acs.jpcc.5b05338-511,-98.89343852
0.95,58.60614296,acs.jpcc.5b05338-512,-103.2314407
1,68.70663567,acs.jpcc.5b05338-513,-98.97894894
0.95,64.78461413,acs.jpcc.5b05338-514,-103.1785381
0.25,62.47439423,acs.jpcc.5b05338-515,-65.02861421
0.25,68.70508721,acs.jpcc.5b05338-516,-65.16016162
0.975,60.26,acs.jpcc.5b05338-517,-104.640319
0.99,60.26,acs.jpcc.5b05338-518,-105.513947
0.25,62.4673841287,acs.jpcc.5b05338-522,-65.0001049927
0.25,68.704760901,acs.jpcc.5b05338-523,-65.1503185389
