UValue,VOpt,CID,EOpt
6,275.3722628,acs.jpcc.5b05338-1,-180.2657254
2,63.70860661,acs.jpcc.5b05338-2,-51.7323959
3,64.32165857,acs.jpcc.5b05338-3,-50.03801974
5,272.208786,acs.jpcc.5b05338-4,-186.6280823
0,257.7282888,acs.jpcc.5b05338-5,-221.2540945
2,125.0673626,acs.jpcc.5b05338-6,-103.404014
4,127.6170649,acs.jpcc.5b05338-7,-96.64990584
2,263.1610842,acs.jpcc.5b05338-8,-206.844157
0,68.5866532,acs.jpcc.5b05338-9,-55.34572634
0,122.7235387,acs.jpcc.5b05338-10,-110.5571464
3,70.77731196,acs.jpcc.5b05338-11,-49.95387805
0,62.53736296,acs.jpcc.5b05338-12,-55.25630782
1,63.09979859,acs.jpcc.5b05338-13,-53.47203513
1,123.824148,acs.jpcc.5b05338-14,-106.9297876
4,269.1313085,acs.jpcc.5b05338-15,-193.1784023
3,266.0028196,acs.jpcc.5b05338-16,-199.9180838
4,71.59522745,acs.jpcc.5b05338-17,-48.24647787
5,72.43343208,acs.jpcc.5b05338-18,-46.58529657
6,73.31864657,acs.jpcc.5b05338-19,-44.97133636
3,126.3064005,acs.jpcc.5b05338-20,-99.97814117
2,70.0034737,acs.jpcc.5b05338-21,-51.70676267
6,66.2458994,acs.jpcc.5b05338-22,-45.2321094
5,128.9594666,acs.jpcc.5b05338-23,-93.41977688
6,130.314284,acs.jpcc.5b05338-24,-90.28528066
5,65.59344887,acs.jpcc.5b05338-25,-46.78778229
1,69.2688413,acs.jpcc.5b05338-26,-53.50445873
1,260.3057001,acs.jpcc.5b05338-27,-213.9560103
4,64.94962319,acs.jpcc.5b05338-28,-48.38949879
1,267.0465697,acs.jpcc.5b05338-29,-225.5107407
5,74.32936084,acs.jpcc.5b05338-30,-49.72761043
1,64.72170792,acs.jpcc.5b05338-31,-56.34009354
6,75.19761382,acs.jpcc.5b05338-32,-48.16187102
1,127.0757816,acs.jpcc.5b05338-33,-112.6373257
3,129.5774576,acs.jpcc.5b05338-34,-105.877281
3,272.8187045,acs.jpcc.5b05338-35,-211.8817901
4,130.9055362,acs.jpcc.5b05338-36,-102.6443808
4,276.0631557,acs.jpcc.5b05338-37,-205.3436393
3,65.99602652,acs.jpcc.5b05338-38,-53.00515154
3,72.67066222,acs.jpcc.5b05338-39,-52.99484462
2,71.87914504,acs.jpcc.5b05338-40,-54.69511695
2,128.3144701,acs.jpcc.5b05338-41,-109.206911
4,66.5897475,acs.jpcc.5b05338-42,-51.40419963
2,269.9401609,acs.jpcc.5b05338-43,-218.6038189
5,67.27513138,acs.jpcc.5b05338-44,-49.84843948
0,64.21586462,acs.jpcc.5b05338-45,-58.07403642
1,71.09998782,acs.jpcc.5b05338-46,-56.43953607
0,70.42740467,acs.jpcc.5b05338-47,-58.2270191
0,264.4246915,acs.jpcc.5b05338-48,-232.6091274
0,125.9509553,acs.jpcc.5b05338-49,-116.1658206
5,279.1403955,acs.jpcc.5b05338-50,-198.988572
2,65.37083919,acs.jpcc.5b05338-51,-54.65039053
6,133.5655289,acs.jpcc.5b05338-52,-96.46276218
5,132.2634985,acs.jpcc.5b05338-53,-99.50730541
6,282.0553794,acs.jpcc.5b05338-54,-192.812766
6,67.92709145,acs.jpcc.5b05338-55,-48.33747462
4,73.44944307,acs.jpcc.5b05338-56,-51.33867928
1,63.28357307,acs.jpcc.5b05338-57,-52.11892535
5,129.3706122,acs.jpcc.5b05338-58,-90.70549145
2,63.90002131,acs.jpcc.5b05338-59,-50.38097651
5,72.75022234,acs.jpcc.5b05338-60,-45.30591904
0,68.86003789,acs.jpcc.5b05338-61,-54.05830109
4,127.9868572,acs.jpcc.5b05338-62,-93.93180816
1,124.1715112,acs.jpcc.5b05338-63,-104.2007159
4,65.14704767,acs.jpcc.5b05338-64,-47.04133411
6,66.46074352,acs.jpcc.5b05338-65,-43.88768001
1,69.53965064,acs.jpcc.5b05338-66,-52.2181
6,73.62688819,acs.jpcc.5b05338-67,-43.69394657
3,64.49842793,acs.jpcc.5b05338-68,-48.68838933
5,65.79745084,acs.jpcc.5b05338-69,-45.44142757
2,125.415032,acs.jpcc.5b05338-70,-100.6784445
3,71.06245508,acs.jpcc.5b05338-71,-48.67054253
4,71.88657835,acs.jpcc.5b05338-72,-46.96475876
2,70.29080872,acs.jpcc.5b05338-73,-50.42182259
3,126.654445,acs.jpcc.5b05338-74,-97.25618543
6,130.6948009,acs.jpcc.5b05338-75,-87.57475375
0,123.0483149,acs.jpcc.5b05338-76,-107.8255501
0,62.71197908,acs.jpcc.5b05338-77,-53.90168369
2,257.6146964,acs.jpcc.5b05338-78,-217.792357
3,123.625389,acs.jpcc.5b05338-79,-105.4748275
5,126.1243323,acs.jpcc.5b05338-80,-98.79013305
2,62.37017123,acs.jpcc.5b05338-81,-54.49394938
3,260.4158136,acs.jpcc.5b05338-82,-210.7420276
4,69.98576331,acs.jpcc.5b05338-83,-50.87684159
0,252.5508951,acs.jpcc.5b05338-84,-232.4373542
5,266.1484728,acs.jpcc.5b05338-85,-197.1955905
4,63.5363101,acs.jpcc.5b05338-86,-51.09154704
4,263.2440085,acs.jpcc.5b05338-87,-203.8748169
1,121.2661608,acs.jpcc.5b05338-88,-112.5465723
6,64.79619853,acs.jpcc.5b05338-89,-47.87334028
3,62.94899853,acs.jpcc.5b05338-90,-52.77027486
3,69.21523508,acs.jpcc.5b05338-91,-52.61639878
6,71.61339281,acs.jpcc.5b05338-92,-47.53632002
0,67.18438971,acs.jpcc.5b05338-93,-58.09874631
1,254.9839112,acs.jpcc.5b05338-94,-225.0247239
2,68.4967113,acs.jpcc.5b05338-95,-54.40037896
2,122.4556564,acs.jpcc.5b05338-96,-108.9617905
1,67.81109378,acs.jpcc.5b05338-97,-56.22822991
6,269.1739079,acs.jpcc.5b05338-98,-190.7034817
4,124.7973885,acs.jpcc.5b05338-99,-102.0840973
1,61.77799258,acs.jpcc.5b05338-100,-56.26242067
5,70.79233386,acs.jpcc.5b05338-101,-49.18335434
0,120.2214288,acs.jpcc.5b05338-102,-116.2296277
0,61.25640507,acs.jpcc.5b05338-103,-58.07448467
5,64.15926149,acs.jpcc.5b05338-104,-49.45923525
6,127.4075567,acs.jpcc.5b05338-105,-95.59208462
3,272.1821515,acs.jpcc.5b05338-106,-196.7740895
5,73.87391834,acs.jpcc.5b05338-107,-46.51702933
2,269.6844315,acs.jpcc.5b05338-108,-202.4414898
1,64.83113921,acs.jpcc.5b05338-109,-52.00455085
6,74.57112473,acs.jpcc.5b05338-110,-45.20239766
8,134.8384627,acs.jpcc.5b05338-111,-85.38436389
2,71.84011006,acs.jpcc.5b05338-112,-50.68569758
9,287.2850628,acs.jpcc.5b05338-113,-165.9452534
2,65.36481952,acs.jpcc.5b05338-114,-50.57779768
7,75.23372538,acs.jpcc.5b05338-115,-43.92411012
9,69.03755184,acs.jpcc.5b05338-116,-41.6207598
7,282.3434212,acs.jpcc.5b05338-117,-175.6362645
6,279.8340564,acs.jpcc.5b05338-118,-180.6979664
3,65.90581451,acs.jpcc.5b05338-119,-49.18872247
2,128.3060311,acs.jpcc.5b05338-120,-101.102112
0,70.52144535,acs.jpcc.5b05338-121,-53.65323996
8,284.8805471,acs.jpcc.5b05338-122,-170.7200331
5,66.9516928,acs.jpcc.5b05338-123,-46.52178438
4,73.18644197,acs.jpcc.5b05338-124,-47.8689388
7,68.01304275,acs.jpcc.5b05338-125,-44.00079574
6,67.48459177,acs.jpcc.5b05338-126,-45.24349056
