Energy,Attyps,Coord1,Coord2,Coord3,Coord4,Coord5,Coord6,Coord7,Coord8,Coord9,Coord10,Coord11,Coord12
-361.6832786,2;4, 0.000000000;0.000000000;0.000000000,0.500000000;0.500000000;0.500000000,0.305356333;0.305356333;0.000000000,0.694643667;0.694643667;0.000000000,0.805354772;0.194645228;0.500000000,0.194645228;0.805354772;0.500000000,-,-,-,-,-,-
-361.6918982,2;4, 0.000000000;0.000000000;0.000000001,0.500000000;0.500000000;0.500000001,0.305356333;0.305356333;0.000000001,0.694643667;0.694643667;0.000000001,0.805354772;0.194645228;0.500000001,0.194645228;0.805354772;0.500000001,-,-,-,-,-,-
-361.6964884,2;4, 0.000000000;0.000000000;0.000000002,0.500000000;0.500000000;0.500000002,0.305356333;0.305356333;0.000000002,0.694643667;0.694643667;0.000000002,0.805354772;0.194645228;0.500000002,0.194645228;0.805354772;0.500000002,-,-,-,-,-,-
-361.6973953,2;4, 0.000000000;0.000000000;0.000000003,0.500000000;0.500000000;0.500000003,0.305356333;0.305356333;0.000000003,0.694643667;0.694643667;0.000000003,0.805354772;0.194645228;0.500000003,0.194645228;0.805354772;0.500000003,-,-,-,-,-,-
-361.6949574,2;4, 0.000000000;0.000000000;0.000000004,0.500000000;0.500000000;0.500000004,0.305356333;0.305356333;0.000000004,0.694643667;0.694643667;0.000000004,0.805354772;0.194645228;0.500000004,0.194645228;0.805354772;0.500000004,-,-,-,-,-,-
-361.6895024,2;4, 0.000000000;0.000000000;0.000000005,0.500000000;0.500000000;0.500000005,0.305356333;0.305356333;0.000000005,0.694643667;0.694643667;0.000000005,0.805354772;0.194645228;0.500000005,0.194645228;0.805354772;0.500000005,-,-,-,-,-,-
-361.6813543,2;4, 0.000000000;0.000000000;0.000000006,0.500000000;0.500000000;0.500000006,0.305356333;0.305356333;0.000000006,0.694643667;0.694643667;0.000000006,0.805354772;0.194645228;0.500000006,0.194645228;0.805354772;0.500000006,-,-,-,-,-,-
-361.5499718,2;4, 0.000000000;0.000000000;0.000000007,0.500000000;0.500000000;0.500000007,0.305356333;0.305356333;0.000000007,0.694643667;0.694643667;0.000000007,0.805354772;0.194645228;0.500000007,0.194645228;0.805354772;0.500000007,-,-,-,-,-,-
-361.5521714,2;4, 0.000000000;0.000000000;0.000000008,0.500000000;0.500000000;0.500000008,0.305356333;0.305356333;0.000000008,0.694643667;0.694643667;0.000000008,0.805354772;0.194645228;0.500000008,0.194645228;0.805354772;0.500000008,-,-,-,-,-,-
-361.5524991,2;4, 0.000000000;0.000000000;0.000000009,0.500000000;0.500000000;0.500000009,0.305356333;0.305356333;0.000000009,0.694643667;0.694643667;0.000000009,0.805354772;0.194645228;0.500000009,0.194645228;0.805354772;0.500000009,-,-,-,-,-,-
-361.5510842,2;4, 0.000000000;0.000000000;0.000000010,0.500000000;0.500000000;0.500000010,0.305356333;0.305356333;0.000000010,0.694643667;0.694643667;0.000000010,0.805354772;0.194645228;0.500000010,0.194645228;0.805354772;0.500000010,-,-,-,-,-,-
-361.5480127,2;4, 0.000000000;0.000000000;0.000000011,0.500000000;0.500000000;0.500000011,0.305356333;0.305356333;0.000000011,0.694643667;0.694643667;0.000000011,0.805354772;0.194645228;0.500000011,0.194645228;0.805354772;0.500000011,-,-,-,-,-,-
-361.5434001,2;4, 0.000000000;0.000000000;0.000000012,0.500000000;0.500000000;0.500000012,0.305356333;0.305356333;0.000000012,0.694643667;0.694643667;0.000000012,0.805354772;0.194645228;0.500000012,0.194645228;0.805354772;0.500000012,-,-,-,-,-,-
-361.5373502,2;4, 0.000000000;0.000000000;0.000000013,0.500000000;0.500000000;0.500000013,0.305356333;0.305356333;0.000000013,0.694643667;0.694643667;0.000000013,0.805354772;0.194645228;0.500000013,0.194645228;0.805354772;0.500000013,-,-,-,-,-,-
-361.4059928,2;4, 0.000000000;0.000000000;0.000000014,0.500000000;0.500000000;0.500000014,0.305356333;0.305356333;0.000000014,0.694643667;0.694643667;0.000000014,0.805354772;0.194645228;0.500000014,0.194645228;0.805354772;0.500000014,-,-,-,-,-,-
-361.408989,2;4, 0.000000000;0.000000000;0.000000015,0.500000000;0.500000000;0.500000015,0.305356333;0.305356333;0.000000015,0.694643667;0.694643667;0.000000015,0.805354772;0.194645228;0.500000015,0.194645228;0.805354772;0.500000015,-,-,-,-,-,-
-361.410102,2;4, 0.000000000;0.000000000;0.000000016,0.500000000;0.500000000;0.500000016,0.305356333;0.305356333;0.000000016,0.694643667;0.694643667;0.000000016,0.805354772;0.194645228;0.500000016,0.194645228;0.805354772;0.500000016,-,-,-,-,-,-
-361.4094466,2;4, 0.000000000;0.000000000;0.000000017,0.500000000;0.500000000;0.500000017,0.305356333;0.305356333;0.000000017,0.694643667;0.694643667;0.000000017,0.805354772;0.194645228;0.500000017,0.194645228;0.805354772;0.500000017,-,-,-,-,-,-
-361.4071214,2;4, 0.000000000;0.000000000;0.000000018,0.500000000;0.500000000;0.500000018,0.305356333;0.305356333;0.000000018,0.694643667;0.694643667;0.000000018,0.805354772;0.194645228;0.500000018,0.194645228;0.805354772;0.500000018,-,-,-,-,-,-
-361.403236,2;4, 0.000000000;0.000000000;0.000000019,0.500000000;0.500000000;0.500000019,0.305356333;0.305356333;0.000000019,0.694643667;0.694643667;0.000000019,0.805354772;0.194645228;0.500000019,0.194645228;0.805354772;0.500000019,-,-,-,-,-,-
-361.3978939,2;4, 0.000000000;0.000000000;0.000000020,0.500000000;0.500000000;0.500000020,0.305356333;0.305356333;0.000000020,0.694643667;0.694643667;0.000000020,0.805354772;0.194645228;0.500000020,0.194645228;0.805354772;0.500000020,-,-,-,-,-,-
-361.2642613,2;4, 0.000000000;0.000000000;0.000000021,0.500000000;0.500000000;0.500000021,0.305356333;0.305356333;0.000000021,0.694643667;0.694643667;0.000000021,0.805354772;0.194645228;0.500000021,0.194645228;0.805354772;0.500000021,-,-,-,-,-,-
-361.2680926,2;4, 0.000000000;0.000000000;0.000000022,0.500000000;0.500000000;0.500000022,0.305356333;0.305356333;0.000000022,0.694643667;0.694643667;0.000000022,0.805354772;0.194645228;0.500000022,0.194645228;0.805354772;0.500000022,-,-,-,-,-,-
-361.2700245,2;4, 0.000000000;0.000000000;0.000000023,0.500000000;0.500000000;0.500000023,0.305356333;0.305356333;0.000000023,0.694643667;0.694643667;0.000000023,0.805354772;0.194645228;0.500000023,0.194645228;0.805354772;0.500000023,-,-,-,-,-,-
-361.2701709,2;4, 0.000000000;0.000000000;0.000000024,0.500000000;0.500000000;0.500000024,0.305356333;0.305356333;0.000000024,0.694643667;0.694643667;0.000000024,0.805354772;0.194645228;0.500000024,0.194645228;0.805354772;0.500000024,-,-,-,-,-,-
-361.268629,2;4, 0.000000000;0.000000000;0.000000025,0.500000000;0.500000000;0.500000025,0.305356333;0.305356333;0.000000025,0.694643667;0.694643667;0.000000025,0.805354772;0.194645228;0.500000025,0.194645228;0.805354772;0.500000025,-,-,-,-,-,-
-361.2655072,2;4, 0.000000000;0.000000000;0.000000026,0.500000000;0.500000000;0.500000026,0.305356333;0.305356333;0.000000026,0.694643667;0.694643667;0.000000026,0.805354772;0.194645228;0.500000026,0.194645228;0.805354772;0.500000026,-,-,-,-,-,-
-361.1297127,2;4, 0.000000000;0.000000000;0.000000027,0.500000000;0.500000000;0.500000027,0.305356333;0.305356333;0.000000027,0.694643667;0.694643667;0.000000027,0.805354772;0.194645228;0.500000027,0.194645228;0.805354772;0.500000027,-,-,-,-,-,-
-361.1324998,2;4, 0.000000000;0.000000000;0.000000028,0.500000000;0.500000000;0.500000028,0.305356333;0.305356333;0.000000028,0.694643667;0.694643667;0.000000028,0.805354772;0.194645228;0.500000028,0.194645228;0.805354772;0.500000028,-,-,-,-,-,-
-361.1334969,2;4, 0.000000000;0.000000000;0.000000029,0.500000000;0.500000000;0.500000029,0.305356333;0.305356333;0.000000029,0.694643667;0.694643667;0.000000029,0.805354772;0.194645228;0.500000029,0.194645228;0.805354772;0.500000029,-,-,-,-,-,-
-361.1327803,2;4, 0.000000000;0.000000000;0.000000030,0.500000000;0.500000000;0.500000030,0.305356333;0.305356333;0.000000030,0.694643667;0.694643667;0.000000030,0.805354772;0.194645228;0.500000030,0.194645228;0.805354772;0.500000030,-,-,-,-,-,-
-361.1304638,2;4, 0.000000000;0.000000000;0.000000031,0.500000000;0.500000000;0.500000031,0.305356333;0.305356333;0.000000031,0.694643667;0.694643667;0.000000031,0.805354772;0.194645228;0.500000031,0.194645228;0.805354772;0.500000031,-,-,-,-,-,-
-361.1266498,2;4, 0.000000000;0.000000000;0.000000032,0.500000000;0.500000000;0.500000032,0.305356333;0.305356333;0.000000032,0.694643667;0.694643667;0.000000032,0.805354772;0.194645228;0.500000032,0.194645228;0.805354772;0.500000032,-,-,-,-,-,-
-361.1214373,2;4, 0.000000000;0.000000000;0.000000033,0.500000000;0.500000000;0.500000033,0.305356333;0.305356333;0.000000033,0.694643667;0.694643667;0.000000033,0.805354772;0.194645228;0.500000033,0.194645228;0.805354772;0.500000033,-,-,-,-,-,-
-360.9940957,2;4, 0.000000000;0.000000000;0.000000034,0.500000000;0.500000000;0.500000034,0.305356333;0.305356333;0.000000034,0.694643667;0.694643667;0.000000034,0.805354772;0.194645228;0.500000034,0.194645228;0.805354772;0.500000034,-,-,-,-,-,-
