Energy,Scale,PrimVec1,PrimVec2,PrimVec3,Coord1,Coord2,Coord3,Coord4,Coord5,Coord6,Coord7,Coord8,Coord9,Coord10,Coord11,Coord12,Coord13,Coord14,Coord15,Coord16,Coord17,Coord18,Coord19,Coord20,Coord21,Coord22,Coord23,Coord24,Coord25,Coord26,Coord27,Coord28,Coord29,Coord30,Coord31,Coord32,Coord33,Coord34,Coord35,Coord36,Coord37,Coord38,Coord39,Coord40,Coord41,Coord42,Coord43,Coord44,Coord45,Coord46,Coord47,Coord48,Coord49,Coord50,Coord51,Coord52,Coord53,Coord54,Coord55,Coord56,Coord57,Coord58,Coord59,Coord60,Coord61,Coord62,Coord63,Coord64,Coord65,Coord66,Coord67,Coord68,Coord69,Coord70,Coord71,Coord72,Coord73,Coord74,Coord75,Coord76,Coord77,Coord78,Coord79,Coord80,Coord81,Coord82,Coord83,Coord84,Coord85,Coord86,Coord87,Coord88,Coord89,Coord90,Coord91,Coord92,Coord93,Coord94,Coord95,Coord96
-186.624533,5.24,5.277589961;0.0;0.0,0.0;5.558256459;0.0,0.0;0.0;9.319328791,0.131417939841;0.390280660132;0.629532462216,0.631418890938;0.609719976939;0.87046719586,0.368581116452;0.890280978667;0.370466594476,0.868582067549;0.109719658403;0.12953293387,0.868582067549;0.609719976939;0.370466594476,0.368581116452;0.390280660132;0.12953293387,0.631418890938;0.109719658403;0.629532462216,0.131417939841;0.890280978667;0.87046719586,0.46239666553;0.386941483515;0.732251233221,0.962395721823;0.61305735443;0.767748424855,0.0376042855672;0.88694180205;0.26774889651,0.53760334186;0.113057035895;0.232251704875,0.53760334186;0.61305735443;0.26774889651,0.0376042855672;0.386941483515;0.232251704875,0.962395721823;0.113057035895;0.732251233221,0.46239666553;0.88694180205;0.767748424855,0.819817384824;0.849572169768;0.988255721688,0.319818328531;0.150428467302;0.511745009427,0.680181678859;0.349571851233;0.0117444080421,0.180182622566;0.650428785837;0.488255120304,0.180182622566;0.150428467302;0.0117444080421,0.680181678859;0.849572169768;0.488255120304,0.319818328531;0.650428785837;0.988255721688,0.819817384824;0.349571851233;0.511745009427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-51.729522,4.63,4.611805171;-8.26e-06;0.0,-8.26e-06;4.611805171;0.0,0.0;0.0;2.971425702,0.0;0.0;0.0,0.500000334902;0.500000334902;0.499999040528,0.304176447288;0.304176447288;0.0,0.695824222516;0.695824222516;0.0,0.804180029287;0.195820640517;0.499999040528,0.195820640517;0.804180029287;0.499999040528,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-180.209302,5.22,5.260275659;0.0;0.0,0.0;5.544219656;0.0,0.0;0.0;9.266752776,0.13000839582;0.389883542522;0.629752421486,0.630008808441;0.610116519525;0.870247668729,0.369992016801;0.889883573545;0.370247278948,0.869992429421;0.110116488502;0.129753110832,0.869992429421;0.610116519525;0.370247278948,0.369992016801;0.389883542522;0.129753110832,0.630008808441;0.110116488502;0.629752421486,0.13000839582;0.889883573545;0.870247668729,0.460137482692;0.385239065644;0.733844979399,0.960137895313;0.614760996403;0.766155110816,0.0398629299286;0.885239096667;0.266154721035,0.53986334255;0.11476096538;0.233845668745,0.53986334255;0.614760996403;0.266154721035,0.0398629299286;0.385239065644;0.233845668745,0.960137895313;0.11476096538;0.733844979399,0.460137482692;0.885239096667;0.766155110816,0.817970440891;0.848719980802;0.989020665765,0.31797002827;0.151280081245;0.51097942445,0.682030796972;0.348719949778;0.0109790346694,0.182030384351;0.651280112268;0.489020275985,0.182030384351;0.151280081245;0.0109790346694,0.682030796972;0.848719980802;0.489020275985,0.31797002827;0.651280112268;0.989020665765,0.817970440891;0.348719949778;0.51097942445,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-50.011671,4.62,4.59101559;-1.09e-05;0.0,-1.09e-05;4.59101559;0.0,0.0;0.0;2.979011626,0.0;0.0;0.0,0.499999489219;0.499999489219;0.5000014055,0.303937829347;0.303937829347;0.0,0.69606114909;0.69606114909;0.0,0.803942409841;0.196058746769;0.5000014055,0.196058746769;0.803942409841;0.5000014055,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-46.785818,4.68,4.643124069;-7.282e-06;0.0,-7.282e-06;4.643124069;0.0,0.0;0.0;3.027476554,0.0;0.0;0.0,0.500000345996;0.500000345996;0.500000569121,0.304928793513;0.304928793513;0.0,0.695069744753;0.695069744753;0.0,0.804932490481;0.195066047786;0.500000569121,0.195066047786;0.804932490481;0.500000569121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-186.619423,5.22,5.257184497;0.0;0.0,0.0;5.540636477;0.0,0.0;0.0;9.278197932,0.131123417942;0.390364899227;0.629559753177,0.631122990242;0.609633931773;0.870439503359,0.368876154357;0.890365217151;0.370440469711,0.868875726657;0.10963361385;0.129559641733,0.868875726657;0.609633931773;0.370440469711,0.368876154357;0.390364899227;0.129559641733,0.631122990242;0.10963361385;0.629559753177,0.131123417942;0.890365217151;0.870439503359,0.461686288808;0.386549453098;0.732732805425,0.961685861108;0.613451182749;0.767267528907,0.0383132834914;0.886547966175;0.267267417463,0.538312855791;0.113450864826;0.232732693981,0.538312855791;0.613451182749;0.267267417463,0.0383132834914;0.386549453098;0.232732693981,0.961685861108;0.113450864826;0.732732805425,0.461686288808;0.886547966175;0.767267528907,0.81886036194;0.849073932125;0.98886659535,0.318860789641;0.150926703723;0.511133738982,0.681140257117;0.349073614201;0.0111336275381,0.181138782659;0.6509252168;0.488866483906,0.181138782659;0.150926703723;0.0111336275381,0.681140257117;0.849073932125;0.488866483906,0.318860789641;0.6509252168;0.98886659535,0.81886036194;0.349073614201;0.511133738982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-221.205289,5.11,5.108874169;0.0;0.0,0.0;5.428702063;0.0,0.0;0.0;9.141268941,0.136063245444;0.399644330233;0.629085528182,0.636063816118;0.60035528975;0.870914098621,0.36393732523;0.899644140224;0.370914587667,0.863935938525;0.100355479759;0.129084923288,0.863935938525;0.60035528975;0.370914587667,0.36393732523;0.399644330233;0.129084923288,0.636063816118;0.100355479759;0.629085528182,0.136063245444;0.899644140224;0.870914098621,0.464366496712;0.389829829569;0.730516741505,0.964367067385;0.610171632475;0.769482885297,0.0356321165835;0.88982963956;0.269483374343,0.535632687257;0.110169980422;0.230517230551,0.535632687257;0.610171632475;0.269483374343,0.0356321165835;0.389829829569;0.230517230551,0.964367067385;0.110169980422;0.730516741505,0.464366496712;0.88982963956;0.769482885297,0.814570855014;0.84987165375;0.990291398101,0.31457028434;0.150127966232;0.509709322641,0.685428899629;0.349871843759;0.00970871774726,0.185428328955;0.650127776224;0.490290793207,0.185428328955;0.150127966232;0.00970871774726,0.685428899629;0.84987165375;0.490290793207,0.31457028434;0.650127776224;0.990291398101,0.814570855014;0.349871843759;0.509709322641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-103.367534,4.6,4.587160875;0.0;0.0,0.0;5.566204977;0.0,0.0;0.0;4.998252815,0.0;0.160358808863;0.249999359026,0.0;0.839640296991;0.750000077777,0.499999904625;0.66035836179;0.249999359026,0.499999904625;0.339640744064;0.750000077777,0.273325927336;0.380986688195;0.417665947936,0.726673881914;0.619014214215;0.582333488867,0.226673977289;0.119012864732;0.917666666687,0.773325831961;0.880986241122;0.0823327701162,0.773325831961;0.119012864732;0.582333488867,0.226673977289;0.880986241122;0.417665947936,0.726673881914;0.380986688195;0.0823327701162,0.273325927336;0.619014214215;0.917666666687,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-96.646692,4.59,4.553991542;0.0;0.0,0.0;5.550678817;0.0,0.0;0.0;5.015885681,0.0;0.156768213166;0.24999971685,0.0;0.843231999961;0.749999150549,0.500000928636;0.65676831973;0.24999971685,0.500000928636;0.343231893397;0.749999150549,0.270158604524;0.384857432835;0.419124384745,0.729843252748;0.615140978711;0.580874482654,0.229842324112;0.115140872147;0.91912581211,0.770157337284;0.884857539398;0.0808750489543,0.770157337284;0.115140872147;0.580874482654,0.229842324112;0.884857539398;0.419124384745,0.729843252748;0.384857432835;0.0808750489543,0.270158604524;0.615140978711;0.91912581211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-48.388008,4.68,4.652334733;-3.656e-06;0.0,-3.656e-06;4.652334733;0.0,0.0;0.0;3.015500862,0.0;0.0;0.0,0.500000958982;0.500000958982;0.499999857072,0.305004088599;0.305004088599;0.0,0.694997829364;0.694997829364;0.0,0.805006717666;0.194993050837;0.499999857072,0.194993050837;0.805006717666;0.499999857072,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
