Energy,CalcType,AtomIndex,DChargeRHigh,DChargeRLow,DChargeRCenter,PChargeRHigh,PChargeRLow,PChargeRCenter,DMagP,PMagP
-442.0482351,Chi,1,2.65,2.59,2.62,1.094,1.108,1.101,0,0
-442.0482351,Chi,2,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,3,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,4,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,5,2.62,2.62,2.62,1.101,1.102,1.101,0,0
-442.0482351,Chi,6,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,7,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,8,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,9,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,10,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,11,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,12,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,13,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,14,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,15,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,16,2.62,2.62,2.62,1.101,1.101,1.101,0,0
-442.0482351,Chi,17,0,0,0,3.464,3.467,3.465,0,0
-442.0482351,Chi,18,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,19,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,20,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,21,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,22,0,0,0,3.464,3.467,3.465,0,0
-442.0482351,Chi,23,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,24,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,25,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,26,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,27,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,28,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,29,0,0,0,3.464,3.467,3.465,0,0
-442.0482351,Chi,30,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,31,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,32,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,33,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,34,0,0,0,3.464,3.467,3.465,0,0
-442.0482351,Chi,35,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,36,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,37,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,38,0,0,0,3.464,3.467,3.465,0,0
-442.0482351,Chi,39,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,40,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,41,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,42,0,0,0,3.464,3.467,3.465,0,0
-442.0482351,Chi,43,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,44,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,45,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,46,0,0,0,3.465,3.465,3.465,0,0
-442.0482351,Chi,47,0,0,0,3.465,3.465,3.465,0,0
